CURSO,GENERO,TIPO,CAMPUS,GPA,IGS
2009-2010,Femenino,Privada,RUM,3.97,362
2009-2010,Masculino,Privada,HUMACAO,2.78,273
2012-2013,Femenino,Publica,UTUADO,3.15,230
2009-2010,Masculino,Privada,RUM,4,372
2010-2011,Femenino,Publica,UTUADO,3.03,233
2012-2013,Femenino,Privada,ARECIBO,3.9,272
2012-2013,Femenino,Publica,PONCE,3.81,270
2010-2011,Masculino,Publica,RIOPIEDRAS,3.97,356
2012-2013,Femenino,Privada,RIOPIEDRAS,3.57,342
2012-2013,Femenino,Publica,ARECIBO,3.81,270
2013-2014,Femenino,Publica,UTUADO,2.86,222
2011-2012,Femenino,Privada,HUMACAO,3.54,275
2013-2014,Masculino,Privada,ARECIBO,3.3,257
2013-2014,Femenino,Publica,RUM,4,311
2009-2010,Femenino,Publica,AGUADILLA,4,352
2009-2010,Femenino,Privada,PONCE,3.37,261
2013-2014,Masculino,Privada,RUM,3.77,347
2009-2010,Femenino,Publica,HUMACAO,3.2,265
2010-2011,Masculino,Publica,AGUADILLA,3.15,234
2009-2010,Femenino,Privada,PONCE,3.37,261
2013-2014,Masculino,Publica,UTUADO,2.5,199
2009-2010,Femenino,Privada,RUM,3.55,262
2010-2011,Femenino,Privada,AGUADILLA,3.51,253
2009-2010,Femenino,Publica,CAROLINA,4,345
2009-2010,Femenino,Publica,HUMACAO,3.86,264
2009-2010,Femenino,Privada,RUM,4,358
2009-2010,Femenino,Privada,PONCE,3.61,286
2009-2010,Masculino,Privada,RIOPIEDRAS,3.51,327
2012-2013,Femenino,Publica,PONCE,3.44,269
2009-2010,Femenino,Privada,RIOPIEDRAS,3.92,325
2012-2013,Masculino,Publica,AGUADILLA,3.22,262
2009-2010,Femenino,Publica,AGUADILLA,3.87,324
2013-2014,Femenino,Publica,AGUADILLA,3.41,263
2012-2013,Masculino,Privada,HUMACAO,3.06,283
2009-2010,Femenino,Publica,AGUADILLA,4,321
2013-2014,Masculino,Privada,UTUADO,2.35,242
2013-2014,Femenino,Publica,RUM,4,348
2013-2014,Masculino,Publica,AGUADILLA,3.4,240
2010-2011,Femenino,Publica,RUM,3.8,335
2011-2012,Femenino,Privada,PONCE,4,318
2010-2011,Femenino,Publica,AGUADILLA,3.94,343
2012-2013,Femenino,Publica,AGUADILLA,4,324
2013-2014,Masculino,Publica,AGUADILLA,3.9,310
2010-2011,Femenino,Publica,UTUADO,3.44,232
2011-2012,Femenino,Privada,CAYEY,3.53,292
2010-2011,Masculino,Privada,RUM,2.9,269
2013-2014,Femenino,Publica,RUM,4,291
2010-2011,Femenino,Publica,PONCE,3.88,291
2011-2012,Masculino,Publica,RUM,3.41,269
2009-2010,Femenino,Privada,CAROLINA,3.49,237
2012-2013,Femenino,Privada,RIOPIEDRAS,3.6,338
2011-2012,Masculino,Privada,CAROLINA,3.24,289
2010-2011,Femenino,Privada,CAROLINA,3.17,307
